"Kind","Name","PercentLackOfCohesion","CountClassCoupled","SumCyclomatic","MaxNesting","CountClassDerived","CountClassBase","MaxInheritanceTree"
"File","AllCommits.java",,,1,0,,,
"File","BetweenDates.java",,,5,2,,,
"File","BetweenDatesTest.java",,,2,0,,,
"File","BetweenDatesTest.java",,,3,0,,,
"File","BetweenTags.java",,,2,0,,,
"File","BetweenTagsTest.java",,,2,0,,,
"File","BlamedLine.java",,,29,2,,,
"File","CSVFile.java",,,21,2,,,
"File","CSVFileFormatException.java",,,1,0,,,
"File","CSVFileTest.java",,,10,0,,,
"File","CVPM.java",,,1,0,,,
"File","ChangeSet.java",,,1,0,,,
"File","CollectConfiguration.java",,,12,0,,,
"File","Commit.java",,,10,1,,,
"File","CommitFilter.java",,,0,0,,,
"File","CommitFilterIntegrationTest.java",,,4,0,,,
"File","CommitRange.java",,,0,0,,,
"File","CommitTest.java",,,4,0,,,
"File","CommitVisitor.java",,,3,0,,,
"File","Commits.java",,,10,0,,,
"File","ConcurrencyTest.java",,,14,1,,,
"File","DailyCommits.java",,,5,2,,,
"File","DatesAndTimezonesTest.java",,,3,0,,,
"File","Developer.java",,,4,0,,,
"File","DiffBlock.java",,,19,2,,,
"File","DiffFilter.java",,,0,0,,,
"File","DiffLine.java",,,17,2,,,
"File","DiffLineType.java",,,0,0,,,
"File","DiffParser.java",,,8,2,,,
"File","DiffParserTest.java",,,6,0,,,
"File","FirstParentFilter.java",,,4,1,,,
"File","FirstParentOnlyTest.java",,,3,0,,,
"File","GitRemoteRepository.java",,,22,2,,,
"File","GitRemoteRepositoryBuilder.java",,,0,0,,,
"File","GitRemoteRepositoryTest.java",,,8,1,,,
"File","GitRepoWithCollectConfigurationTest.java",,,10,1,,,
"File","GitRepository.java",,,95,3,,,
"File","GitRepositoryTest.java",,,29,0,,,
"File","LastMonths.java",,,4,2,,,
"File","LastMonthsTest.java",,,3,0,,,
"File","ListOfCommits.java",,,4,2,,,
"File","ListOfCommitsTest.java",,,2,0,,,
"File","MemoryConsumptionTest.java",,,15,2,,,
"File","Modification.java",,,18,2,,,
"File","ModificationTest.java",,,2,0,,,
"File","ModificationType.java",,,0,0,,,
"File","MonthlyCommits.java",,,5,2,,,
"File","MultipleGitRemoteRepositoryBuilder.java",,,4,0,,,
"File","NoDiffFilter.java",,,1,0,,,
"File","NoFilter.java",,,1,0,,,
"File","NoPersistence.java",,,2,0,,,
"File","OnlyDiffsWithFileTypes.java",,,2,0,,,
"File","OnlyDiffsWithFileTypesTest.java",,,3,0,,,
"File","OnlyDiffsWithoutFileTypes.java",,,2,0,,,
"File","OnlyDiffsWithoutFileTypesTest.java",,,3,0,,,
"File","OnlyInBranches.java",,,4,0,,,
"File","OnlyInBranchesTest.java",,,1,0,,,
"File","OnlyInHead.java",,,1,0,,,
"File","OnlyInMainBranch.java",,,1,0,,,
"File","OnlyInMainBranchTest.java",,,1,0,,,
"File","OnlyModificationsWithFileTypeTest.java",,,2,0,,,
"File","OnlyModificationsWithFileTypes.java",,,4,0,,,
"File","OnlyModificationsWithFileTypesTest.java",,,1,0,,,
"File","OnlyNoMerge.java",,,1,0,,,
"File","OnlyNoMergeTest.java",,,1,0,,,
"File","PathUtils.java",,,3,1,,,
"File","PersistenceMechanism.java",,,0,0,,,
"File","PersistenceMechanismException.java",,,1,0,,,
"File","RDFileUtils.java",,,29,2,,,
"File","Range.java",,,8,2,,,
"File","RangeTest.java",,,3,0,,,
"File","RepoDriller.java",,,4,1,,,
"File","RepoDrillerException.java",,,2,0,,,
"File","RepoVisitor.java",,,18,3,,,
"File","RepoVisitorData.java",,,13,2,,,
"File","RepositoryFile.java",,,8,0,,,
"File","RepositoryMining.java",,,49,3,,,
"File","RepositoryMiningData.java",,,1,0,,,
"File","ReverseOrderTest.java",,,3,0,,,
"File","SCM.java",,,0,0,,,
"File","SCMRepository.java",,,9,0,,,
"File","SCMRepositoryClone.java",,,1,0,,,
"File","SimpleCommandExecutor.java",,,12,1,,,
"File","SinceCommit.java",,,5,2,,,
"File","SinceCommitTest.java",,,2,0,,,
"File","SingleCommit.java",,,4,2,,,
"File","SingleCommitTest.java",,,2,0,,,
"File","SingleGitRemoteRepositoryBuilder.java",,,5,0,,,
"File","Study.java",,,0,0,,,
"File","SubversionRepository.java",,,74,3,,,
"File","SubversionRepositoryTest.java",,,19,1,,,
"File","TSCheckoutTestVisitor.java",,,6,0,,,
"File","TSTestVisitor.java",,,6,0,,,
"File","TestVisitor.java",,,6,0,,,
"File","ThrowingTest.java",,,2,0,,,
"File","ThrowingTestVisitor.java",,,6,0,,,
"File","log4j2.xml",,,0,0,,,
"File","log4j2.xml",,,0,0,,,
"Package","org",,,0,0,,,
"Package","org.repodriller",,,89,3,,,
"Public Class","org.repodriller.CVPM",0,2,1,0,0,1,1
"Constructor","org.repodriller.CVPM.CVPM",,,1,0,,,
"Public Class","org.repodriller.RepoDriller",33,6,4,1,0,1,1
"Public Constructor","org.repodriller.RepoDriller.RepoDriller",,,1,0,,,
"Public Static Method","org.repodriller.RepoDriller.main",,,1,0,,,
"Public Method","org.repodriller.RepoDriller.start",,,2,1,,,
"Public Class","org.repodriller.RepoDrillerException",0,2,2,0,0,1,2
"Public Constructor","org.repodriller.RepoDrillerException.RepoDrillerException",,,1,0,,,
"Public Constructor","org.repodriller.RepoDrillerException.RepoDrillerException",,,1,0,,,
"Public Class","org.repodriller.RepoVisitor",25,17,18,3,0,1,1
"Public Constructor","org.repodriller.RepoVisitor.RepoVisitor",,,1,0,,,
"Method","org.repodriller.RepoVisitor.beginRepoVisit",,,9,2,,,
"Method","org.repodriller.RepoVisitor.endRepoVisit",,,4,2,,,
"Lambda Method","org.repodriller.RepoVisitor.endRepoVisit.(lambda_expr_1)",,,1,0,,,
"Method","org.repodriller.RepoVisitor.visitCommit",,,4,3,,,
"Public Class","org.repodriller.RepoVisitorData",86,13,13,2,0,1,1
"Public Constructor","org.repodriller.RepoVisitorData.RepoVisitorData",,,1,0,,,
"Public Method","org.repodriller.RepoVisitorData.addVisitor",,,1,0,,,
"Method","org.repodriller.RepoVisitorData.closeAllPersistence",,,2,1,,,
"Public Method","org.repodriller.RepoVisitorData.getSCMRepositoryClone",,,3,2,,,
"Public Method","org.repodriller.RepoVisitorData.isEmpty",,,1,0,,,
"Method","org.repodriller.RepoVisitorData.printVisitors",,,2,1,,,
"Public Method","org.repodriller.RepoVisitorData.putSCMRepositoryClone",,,3,2,,,
"Public Class","org.repodriller.RepositoryMining",5,35,49,3,0,1,1
"Public Constructor","org.repodriller.RepositoryMining.RepositoryMining",,,1,0,,,
"Public Method","org.repodriller.RepositoryMining.collect",,,2,1,,,
"Public Method","org.repodriller.RepositoryMining.filters",,,1,0,,,
"Private Method","org.repodriller.RepositoryMining.filtersAccept",,,3,2,,,
"Public Method","org.repodriller.RepositoryMining.in",,,1,0,,,
"Public Method","org.repodriller.RepositoryMining.mine",,,8,2,,,
"Private Method","org.repodriller.RepositoryMining.printScript",,,2,1,,,
"Public Method","org.repodriller.RepositoryMining.process",,,1,0,,,
"Public Method","org.repodriller.RepositoryMining.process",,,1,0,,,
"Private Method","org.repodriller.RepositoryMining.processChangeSet",,,2,1,,,
"Private Method","org.repodriller.RepositoryMining.processRepo",,,11,3,,,
"Lambda Method","org.repodriller.RepositoryMining.processRepo.(lambda_expr_1)",,,5,0,,,
"Public Method","org.repodriller.RepositoryMining.reverseOrder",,,1,0,,,
"Public Method","org.repodriller.RepositoryMining.setRepoTmpDir",,,4,3,,,
"Public Method","org.repodriller.RepositoryMining.through",,,1,0,,,
"Private Method","org.repodriller.RepositoryMining.validateConcurrencyConfiguration",,,4,2,,,
"Public Method","org.repodriller.RepositoryMining.visitorsAreThreadSafe",,,1,0,,,
"Public Method","org.repodriller.RepositoryMining.visitorsChangeRepoState",,,1,0,,,
"Public Method","org.repodriller.RepositoryMining.withThreads",,,2,1,,,
"Public Method","org.repodriller.RepositoryMining.withThreads",,,2,1,,,
"Public Class","org.repodriller.RepositoryMiningData",64,12,1,0,0,1,1
"Public Constructor","org.repodriller.RepositoryMiningData.RepositoryMiningData",,,1,0,,,
"Public Class","org.repodriller.SCMRepositoryClone",0,1,1,0,0,1,1
"Public Constructor","org.repodriller.SCMRepositoryClone.SCMRepositoryClone",,,1,0,,,
"Public Interface","org.repodriller.Study",0,0,0,0,0,0,0
"Abstract Method","org.repodriller.Study.execute",,,0,0,,,
"Package","org.repodriller.domain",,,89,2,,,
"Public Class","org.repodriller.domain.ChangeSet",0,5,1,0,0,1,1
"Public Constructor","org.repodriller.domain.ChangeSet.ChangeSet",,,1,0,,,
"Public Class","org.repodriller.domain.Commit",82,14,10,1,0,1,1
"Public Constructor","org.repodriller.domain.Commit.Commit",,,1,0,,,
"Public Constructor","org.repodriller.domain.Commit.Commit",,,2,1,,,
"Public Method","org.repodriller.domain.Commit.addModification",,,1,0,,,
"Public Method","org.repodriller.domain.Commit.addModifications",,,1,0,,,
"Public Method","org.repodriller.domain.Commit.getBranches",,,1,0,,,
"Public Method","org.repodriller.domain.Commit.getModifications",,,1,0,,,
"Public Method","org.repodriller.domain.Commit.getParent",,,2,0,,,
"Public Method","org.repodriller.domain.Commit.getParents",,,1,0,,,
"Public Class","org.repodriller.domain.CommitTest",45,9,4,0,0,1,1
"Public Static Method","org.repodriller.domain.CommitTest.readPath",,,1,0,,,
"Public Method","org.repodriller.domain.CommitTest.setUp",,,1,0,,,
"Public Method","org.repodriller.domain.CommitTest.shouldBeEqual",,,1,0,,,
"Public Method","org.repodriller.domain.CommitTest.shouldNotBeEqual",,,1,0,,,
"Public Class","org.repodriller.domain.Developer",25,2,4,0,0,1,1
"Public Constructor","org.repodriller.domain.Developer.Developer",,,1,0,,,
"Public Method","org.repodriller.domain.Developer.getEmail",,,1,0,,,
"Public Method","org.repodriller.domain.Developer.getName",,,1,0,,,
"Public Method","org.repodriller.domain.Developer.toString",,,1,0,,,
"Public Class","org.repodriller.domain.DiffBlock",75,9,19,2,0,1,1
"Public Constructor","org.repodriller.domain.DiffBlock.DiffBlock",,,1,0,,,
"Public Method","org.repodriller.domain.DiffBlock.getDiffBlock",,,1,0,,,
"Public Method","org.repodriller.domain.DiffBlock.getLineInNewFile",,,2,0,,,
"Lambda Method","org.repodriller.domain.DiffBlock.getLineInNewFile.(lambda_expr_1)",,,1,0,,,
"Public Method","org.repodriller.domain.DiffBlock.getLineInOldFile",,,2,0,,,
"Lambda Method","org.repodriller.domain.DiffBlock.getLineInOldFile.(lambda_expr_1)",,,1,0,,,
"Private Method","org.repodriller.domain.DiffBlock.getLinePositions",,,2,1,,,
"Public Method","org.repodriller.domain.DiffBlock.getLines",,,1,0,,,
"Private Method","org.repodriller.domain.DiffBlock.getLines",,,4,2,,,
"Public Method","org.repodriller.domain.DiffBlock.getLinesInNewFile",,,1,0,,,
"Public Method","org.repodriller.domain.DiffBlock.getLinesInOldFile",,,1,0,,,
"Private Method","org.repodriller.domain.DiffBlock.typeOf",,,4,1,,,
"Public Class","org.repodriller.domain.DiffLine",29,3,17,2,0,1,1
"Public Constructor","org.repodriller.domain.DiffLine.DiffLine",,,1,0,,,
"Public Method","org.repodriller.domain.DiffLine.equals",,,9,2,,,
"Public Method","org.repodriller.domain.DiffLine.getLine",,,1,0,,,
"Public Method","org.repodriller.domain.DiffLine.getLineNumber",,,1,0,,,
"Public Method","org.repodriller.domain.DiffLine.getType",,,1,0,,,
"Public Method","org.repodriller.domain.DiffLine.hashCode",,,3,0,,,
"Public Method","org.repodriller.domain.DiffLine.toString",,,1,0,,,
"Public Enum Type","org.repodriller.domain.DiffLineType",,1,0,0,0,1,1
"Public Implicit Method","org.repodriller.domain.DiffLineType.valueOf",,,0,,,,
"Public Implicit Method","org.repodriller.domain.DiffLineType.values",,,0,,,,
"Public Class","org.repodriller.domain.DiffParser",25,6,8,2,0,1,1
"Public Constructor","org.repodriller.domain.DiffParser.DiffParser",,,1,0,,,
"Private Method","org.repodriller.domain.DiffParser.extractDiffBlocks",,,5,2,,,
"Public Method","org.repodriller.domain.DiffParser.getBlocks",,,1,0,,,
"Public Method","org.repodriller.domain.DiffParser.getFullDiff",,,1,0,,,
"Public Class","org.repodriller.domain.DiffParserTest",0,7,6,0,0,1,1
"Public Method","org.repodriller.domain.DiffParserTest.additionsAndDeletions",,,1,0,,,
"Public Method","org.repodriller.domain.DiffParserTest.extractLineNumbersAndContentInOldAndNewFile",,,1,0,,,
"Public Method","org.repodriller.domain.DiffParserTest.onlyAdditions",,,1,0,,,
"Public Method","org.repodriller.domain.DiffParserTest.onlyDeletions",,,1,0,,,
"Public Method","org.repodriller.domain.DiffParserTest.realExampleLargeFileWithMultipleDiffBlocks",,,1,0,,,
"Public Method","org.repodriller.domain.DiffParserTest.tabsEnters",,,1,0,,,
"Public Class","org.repodriller.domain.Modification",76,4,18,2,0,1,1
"Public Constructor","org.repodriller.domain.Modification.Modification",,,4,2,,,
"Public Method","org.repodriller.domain.Modification.fileNameEndsWith",,,1,0,,,
"Public Method","org.repodriller.domain.Modification.fileNameMatches",,,1,0,,,
"Public Method","org.repodriller.domain.Modification.getAdded",,,1,0,,,
"Public Method","org.repodriller.domain.Modification.getDiff",,,1,0,,,
"Public Method","org.repodriller.domain.Modification.getFileName",,,3,1,,,
"Public Method","org.repodriller.domain.Modification.getNewPath",,,1,0,,,
"Public Method","org.repodriller.domain.Modification.getOldPath",,,1,0,,,
"Public Method","org.repodriller.domain.Modification.getRemoved",,,1,0,,,
"Public Method","org.repodriller.domain.Modification.getSourceCode",,,1,0,,,
"Public Method","org.repodriller.domain.Modification.getType",,,1,0,,,
"Public Method","org.repodriller.domain.Modification.toString",,,1,0,,,
"Public Method","org.repodriller.domain.Modification.wasDeleted",,,1,0,,,
"Public Class","org.repodriller.domain.ModificationTest",0,5,2,0,0,1,1
"Public Method","org.repodriller.domain.ModificationTest.shouldGetAddsAndRemoves",,,1,0,,,
"Public Method","org.repodriller.domain.ModificationTest.shouldGetNameOfFileEvenWhenDeleted",,,1,0,,,
"Public Enum Type","org.repodriller.domain.ModificationType",,1,0,0,0,1,1
"Public Implicit Method","org.repodriller.domain.ModificationType.valueOf",,,0,,,,
"Public Implicit Method","org.repodriller.domain.ModificationType.values",,,0,,,,
"Package","org.repodriller.filter",,,0,0,,,
"Package","org.repodriller.filter.commit",,,15,0,,,
"Public Interface","org.repodriller.filter.commit.CommitFilter",0,1,0,0,5,0,0
"Abstract Method","org.repodriller.filter.commit.CommitFilter.accept",,,0,0,,,
"Public Class","org.repodriller.filter.commit.NoFilter",0,1,1,0,0,2,1
"Public Method","org.repodriller.filter.commit.NoFilter.accept",,,1,0,,,
"Public Class","org.repodriller.filter.commit.OnlyInBranches",50,3,3,0,0,2,1
"Public Constructor","org.repodriller.filter.commit.OnlyInBranches.OnlyInBranches",,,1,0,,,
"Public Method","org.repodriller.filter.commit.OnlyInBranches.accept",,,2,0,,,
"Lambda Method","org.repodriller.filter.commit.OnlyInBranches.accept.(lambda_expr_1)",,,2,0,,,
"Lambda Method","org.repodriller.filter.commit.OnlyInBranches.accept.(lambda_expr_1).(lambda_expr_2)",,,1,0,,,
"Public Class","org.repodriller.filter.commit.OnlyInBranchesTest",0,9,1,0,0,1,1
"Public Method","org.repodriller.filter.commit.OnlyInBranchesTest.shouldAcceptIfCommitBelongsToMainBranch",,,1,0,,,
"Public Class","org.repodriller.filter.commit.OnlyInMainBranch",0,1,1,0,0,2,1
"Public Method","org.repodriller.filter.commit.OnlyInMainBranch.accept",,,1,0,,,
"Public Class","org.repodriller.filter.commit.OnlyInMainBranchTest",0,10,1,0,0,1,1
"Public Method","org.repodriller.filter.commit.OnlyInMainBranchTest.shouldAcceptIfCommitBelongsToAnyOfBranchesInTheList",,,1,0,,,
"Public Class","org.repodriller.filter.commit.OnlyModificationsWithFileTypes",50,2,3,0,0,2,1
"Public Constructor","org.repodriller.filter.commit.OnlyModificationsWithFileTypes.OnlyModificationsWithFileTypes",,,1,0,,,
"Public Method","org.repodriller.filter.commit.OnlyModificationsWithFileTypes.accept",,,2,0,,,
"Lambda Method","org.repodriller.filter.commit.OnlyModificationsWithFileTypes.accept.(lambda_expr_1)",,,2,0,,,
"Lambda Method","org.repodriller.filter.commit.OnlyModificationsWithFileTypes.accept.(lambda_expr_1).(lambda_expr_2)",,,1,0,,,
"Public Class","org.repodriller.filter.commit.OnlyModificationsWithFileTypesTest",0,12,1,0,0,1,1
"Public Method","org.repodriller.filter.commit.OnlyModificationsWithFileTypesTest.shouldAcceptIfCommitContainsFilesWithThatType",,,1,0,,,
"Public Class","org.repodriller.filter.commit.OnlyNoMerge",0,1,1,0,0,2,1
"Public Method","org.repodriller.filter.commit.OnlyNoMerge.accept",,,1,0,,,
"Public Class","org.repodriller.filter.commit.OnlyNoMergeTest",0,9,1,0,0,1,1
"Public Method","org.repodriller.filter.commit.OnlyNoMergeTest.shouldAcceptIfCommitIsNotAMergeCommit",,,1,0,,,
"Package","org.repodriller.filter.diff",,,11,0,,,
"Public Interface","org.repodriller.filter.diff.DiffFilter",0,1,0,0,3,0,0
"Abstract Method","org.repodriller.filter.diff.DiffFilter.accept",,,0,0,,,
"Public Class","org.repodriller.filter.diff.NoDiffFilter",0,2,1,0,0,2,1
"Public Method","org.repodriller.filter.diff.NoDiffFilter.accept",,,1,0,,,
"Public Class","org.repodriller.filter.diff.OnlyDiffsWithFileTypes",0,4,2,0,0,2,1
"Public Constructor","org.repodriller.filter.diff.OnlyDiffsWithFileTypes.OnlyDiffsWithFileTypes",,,1,0,,,
"Public Method","org.repodriller.filter.diff.OnlyDiffsWithFileTypes.accept",,,1,0,,,
"Public Class","org.repodriller.filter.diff.OnlyDiffsWithFileTypesTest",0,4,3,0,0,1,1
"Public Method","org.repodriller.filter.diff.OnlyDiffsWithFileTypesTest.shouldAcceptIfFileHasExtensionWithDot",,,1,0,,,
"Public Method","org.repodriller.filter.diff.OnlyDiffsWithFileTypesTest.shouldAcceptIfFileHasExtensionWithoutDot",,,1,0,,,
"Public Method","org.repodriller.filter.diff.OnlyDiffsWithFileTypesTest.shouldRejectIfFileDoesNotMatchExtensions",,,1,0,,,
"Public Class","org.repodriller.filter.diff.OnlyDiffsWithoutFileTypes",0,4,2,0,0,2,1
"Public Constructor","org.repodriller.filter.diff.OnlyDiffsWithoutFileTypes.OnlyDiffsWithoutFileTypes",,,1,0,,,
"Public Method","org.repodriller.filter.diff.OnlyDiffsWithoutFileTypes.accept",,,1,0,,,
"Public Class","org.repodriller.filter.diff.OnlyDiffsWithoutFileTypesTest",0,4,3,0,0,1,1
"Public Method","org.repodriller.filter.diff.OnlyDiffsWithoutFileTypesTest.shouldAcceptIfFileDoesNotMatchExtensions",,,1,0,,,
"Public Method","org.repodriller.filter.diff.OnlyDiffsWithoutFileTypesTest.shouldRejectIfFileHasExtensionWithDot",,,1,0,,,
"Public Method","org.repodriller.filter.diff.OnlyDiffsWithoutFileTypesTest.shouldRejectIfFileHasExtensionWithoutDot",,,1,0,,,
"Package","org.repodriller.filter.range",,,68,2,,,
"Public Class","org.repodriller.filter.range.AllCommits",0,3,1,0,0,2,1
"Public Method","org.repodriller.filter.range.AllCommits.get",,,1,0,,,
"Public Class","org.repodriller.filter.range.BetweenDates",33,6,5,2,0,2,1
"Public Constructor","org.repodriller.filter.range.BetweenDates.BetweenDates",,,1,0,,,
"Public Method","org.repodriller.filter.range.BetweenDates.get",,,3,2,,,
"Private Method","org.repodriller.filter.range.BetweenDates.isInTheRange",,,1,0,,,
"Public Class","org.repodriller.filter.range.BetweenDatesTest",25,11,2,0,0,1,1
"Public Method","org.repodriller.filter.range.BetweenDatesTest.setUp",,,1,0,,,
"Public Method","org.repodriller.filter.range.BetweenDatesTest.should_get_commits_in_range",,,1,0,,,
"Public Class","org.repodriller.filter.range.BetweenTags",0,5,2,0,0,2,1
